,category,question,answers,good_answer
0,Arte y Literatura,¿Qué pintaba principalmente Henri de Toulouse-Lautrec?,"['La vida cotidiana al aire libre', 'Bodegones', 'La vida noctura del París de final del siglo XIX', 'Retratos de la burguesía y nobleza del siglo XIX']",La vida noctura del París de final del siglo XIX
0,Cine y Televisión,¿Qué cadena americana emite Lost (Perdidos)?,"['RAI', 'ABC', 'Eurosport', 'NBC']",ABC
0,Deporte,"¿En qué ciudad de EE.UU. tienen su sede Los Rockets, el equipo de la NBA?","['Houston', 'Las Vegas', 'Dallas', 'San Francisco']",Houston
0,Música,¿Cómo se llama el grupo del que es cantante Leonor Watling?,"['Bunbury', 'McNamara', 'Marlango', 'Aerolíneas Federales']",Marlango
0,Arte y Literatura,¿Quién mandó construir los templos de Abu Simbel?,"['El dios Amón', 'Ramsés II', 'Cleopatra VII', 'Un eclipse solar']",Ramsés II
0,Deporte,¿En qué deporte destacó John Curry?,"['Golf', 'Atletismo', 'Fútbol', 'Patinaje']",Patinaje
0,Cine y Televisión,¿Quién es Rocky?,"['Werner Herzog', 'Sylvester Stallone', 'Arnold Schwarzenegger', 'Jackie Chan']",Sylvester Stallone
0,Cine y Televisión,¿Quien protagonizó Bailando con lobos?,"['Jeffrey Jones', 'Kevin Costner', 'John Lone', ""Peter O'Toole""]",Kevin Costner
0,Ciencia y Naturaleza,¿Quién diseño el sistema operativo MS-DOS?,"['Hewlett Packard', 'Stephen Wozniak', 'Apple Inc.', 'Microsoft']",Microsoft
0,Arte y Literatura,¿Qué era Moby-Dick?,"['Una gata blanca', 'Un caballo gris', 'Una ballena blanca', 'Un perro collie']",Una ballena blanca
0,Música,¿Qué canción cantó Salomé en el Festival de Eurovisión?,"['La, la, la', 'Estando contigo', 'Vivo cantando', 'Baila el Chiki-chiki']",Vivo cantando
0,Cine y Televisión,¿Cómo se titulaba la comedia que hizo famoso a Steve Urkel?,"['Aquellos maravillosos años', 'Ally McBeal', 'Cosas de Casa', 'Becker']",Cosas de Casa
0,Geografía,"¿Cómo se llama la playa que baña la ciudad de Santander, provincia de Cantabria?","['Playa de Orzán', 'Playa del Sardinero', 'Playa de San Lorenzo', 'Playa de La Concha']",Playa del Sardinero
0,Cine y Televisión,¿Cuál se considera la película más significativa del Cine Surrealista?,"['Cruel cruel love', 'Un perro andaluz', 'A Busy Day', 'Tarta tarta hey']",Un perro andaluz
0,Ciencia y Naturaleza,¿Qué es el Niño de Taung?,"['Un fósil de Australopithecus africanus encontrado en Sudáfrica', 'Los restos de un niño en un enterramiento Mapuche', 'El primer fósil de Homo sapiens encontrado', 'Un humano de 12.000 años encontrado en el Glaciar de Sorata (Bolivia)']",Un fósil de Australopithecus africanus encontrado en Sudáfrica
0,Arte y Literatura,¿Qué estilo practicó Jean-François Millet?,"['El Romanticismo', 'El Realismo', 'El Postimpresionismo', 'El Rococó']",El Realismo
0,Deporte,¿En qué mes se celebra el All-Star Game de la NBA?,"['Febrero', 'Octubre', 'Junio', 'Diciembre']",Febrero
0,Deporte,¿Cómo se llama la zona en la que está el hoyo en un campo de Golf?,"['Handicap', 'Fairway', 'Swing', 'Green']",Green
0,Música,Título de la canción de Serrat dedicada a Antonio Machado ...,"['La república fue su tumba', 'El exilio', 'En Colliure', 'Para la libertad']",En Colliure
0,Música,¿De qué disco es la canción de the Beatles With a Little Help from My Friends?,"[""De Sgt. Pepper's Lonely Hearts Club Band"", 'De Revolver', 'De Please Please Me', 'De Yesterday and Today']",De Sgt. Pepper's Lonely Hearts Club Band
0,Arte y Literatura,¿Quién es el autor del cómic Palestina?,"['Joe Sacco', 'Alan Moore', 'Osamu Tezuka', 'Frank Miller']",Joe Sacco
0,Historia,¿Cual es el último libro de la Biblia?,"['Apocalipsis', 'Malaquías', 'Deuteronomio', 'Galatas']",Apocalipsis
0,Arte y Literatura,¿Quién pintó El Censo en Belén (1566)?,"['Alberto Durero', 'Juan Pantoja de la Cruz', 'Pieter Brueghel el Viejo', 'Rafael Sanzio']",Pieter Brueghel el Viejo
0,Geografía,¿De qué colores es la bandera de la República Árabe de Egipto?,"['Verde, amarillo y azul', 'Verde, amarillo y rojo', 'Verde y blanco', 'Rojo, blanco y negro']","Rojo, blanco y negro"
0,Arte y Literatura,"¿Quién escribió Vida de los mejores arquitectos, pintores y escultores italianos?","['Rosso Fiorentino', 'Giorgio Vasari', 'Masaccio', 'Andrea del Sarto']",Giorgio Vasari
0,Historia,¿Quién fue Charles de Gaulle?,"['El presidente francés colaboracionista con la Alemania Nazi', 'El instigador de la Revolución Francesa', 'El militar que derrotó a Rommel en el norte de Africa', 'Un militar y presidente de la República Francesa']",Un militar y presidente de la República Francesa
0,Cine y Televisión,¿Cómo se llamaban los hermanos gemelos protagonistas de la serie Sensación de Vivir?,"['Kelly y Dylan Mckay', 'Jim y Scott Scalon', 'Brenda y Brandon Walsh', 'Steve y David Sanders']",Brenda y Brandon Walsh
0,Ciencia y Naturaleza,¿Qué es el sievert?,"['La medida de intensidad del campo eléctrico', 'La medida de la dosis de radiación absorbida', 'La medida de temperatura de los cuerpos sólidos', 'La medida de permeabilidad']",La medida de la dosis de radiación absorbida
0,Deporte,"¿En qué ciudad estadounidense tienen su sede Los Suns, el equipo de la NBA?","['Orlando', 'Atlanta', 'Phoenix', 'Detroit']",Phoenix
0,Ciencia y Naturaleza,¿Cómo se llama el temor excesivo a las opiniones ajenas?,"['Autofobia', 'Astrafobia', 'Alodoxafobia', 'Aporofobia']",Alodoxafobia
0,Geografía,¿Cual es el río más largo de la Península Ibérica?,"['Río Duero', 'Río Guadiana', 'Río Tajo', 'Río Ebro']",Río Tajo
0,Deporte,¿Quién ganó el British Open de Golf de 1988?,"['Severiano Ballesteros', 'Greg Norman', 'Nick Faldo', 'Jose Castro Urdiales']",Severiano Ballesteros
0,Música,Títulos de los álbumes de Alejandro Sanz ...,"['La llama eterna y Llanto de un héroe', 'EBS y Ella baila sola', 'El tren de los momentos y Viviendo deprisa', 'Estrella de mar y Una pequeña parte del mundo']",El tren de los momentos y Viviendo deprisa
0,Arte y Literatura,Poeta de la Generación del 27 autor de 'Hijos de la Ira' ...,"['Gustavo Adolfo Bécquer', 'Dámaso Alonso', 'José de Esproceda', 'Mariano José de Larra']",Dámaso Alonso
0,Cine y Televisión,"¿Quién interpreta al padre de familia, el Coronel Ludlow, en 'Leyendas de pasión'?","['Anthoony Hopkins', 'Adrien Brody', 'George Clooney', 'Kristen Bell']",Anthoony Hopkins
0,Música,¿Cómo se llamaba el cantante del grupo Queen?,"['Freddie Mercury', 'Roger Taylor', 'John Deacon', 'Brian May']",Freddie Mercury
0,Geografía,El río Amazonas nace en ...,"['Brasil', 'Perú', 'Argentina', 'Colombia']",Perú
0,Ciencia y Naturaleza,¿Quién fue el Premio Nobel de Química el año 2007?,"['Albert Fert', 'Gerhard Ertl', 'Jose Castro Urdiales', 'Peter Grumberg']",Gerhard Ertl
0,Deporte,En golf ¿Qué es un birdie?,"['Un resultado de tres bajo par', 'Un resultado de tres por encima del par', 'Un resultado de uno bajo par', 'Un resultado de dos bajo par']",Un resultado de uno bajo par
0,Geografía,¿Qué es la Renta Per Cápita?,"['La relación entre el PIB de un país y su número de habitantes', 'La cantidad de impuestos que un país grava por persona', 'El potencial económico de un país', 'Los tributos a Hacienda de un país']",La relación entre el PIB de un país y su número de habitantes
0,Cine y Televisión,¿Quien interpreta a César Cabano en Física o Química?,"['Xavi Mira', 'Karim El-Kerem', 'Javier Calvo', 'Maxi Iglesias']",Maxi Iglesias
0,Arte y Literatura,"¿En qué ciudad se encuentran las Casas Colgadas, también llamadas Casas Voladas o Casas del Rey?","['Barcelona', 'Cuenca', 'Burgos', 'Tarragona']",Cuenca
0,Geografía,¿Con qué mar limita por el Norte la República Bolivariana de Venezuela?,"['Océano Indico', 'Mar Caribe', 'Mar Caspio', 'Océano Atlántico']",Mar Caribe
0,Deporte,¿Donde nació el futbolitas Bojan?,"['Barcelona', 'Pamplona', 'Liñola', 'Fuentealbilla']",Liñola
0,Miscelánea,¿Qué bebida es promocionada con el personaje Fido Dido?,"['Sprite', 'Fanta', '7 Up', 'Pepsi Cola']",7 Up
0,Música,¿Qué accidente musical disminuye el tono de la nota a la que acompaña?,"['Respiro', 'Becuadro', 'Bemol', 'Sostenido']",Bemol
0,Miscelánea,¿Cuando se comen las Torrijas?,"['En Carnaval y Cuaresma', 'En San Isidro', 'En Navidad', 'En verano']",En Carnaval y Cuaresma
0,Historia,¿Quién reconquista Jerusalén a los cruzados en el año 1187?,"['Saladino', 'Turan Shah', 'Al Adid', 'Jerjes I']",Saladino
0,Historia,¿Quién fué el último rey de Portugal?,"['Luis I', 'José VII', 'Manuel II', 'Manuel I']",Manuel II
0,Geografía,¿Dónde desemboca el río Vístula?,"['En el mar Egeo', 'En el mar del Norte', 'En el mar Báltico', 'En el oceano Atlántico']",En el mar Báltico
0,Deporte,¿Quien ganó la Copa de Europa de fútbol en el año 2008?,"['España', 'Francia', 'Rusia', 'Alemania']",España
0,Arte y Literatura,¿Quien compuso Las Bodas de Fígaro?,"['Hummel', 'Salieri', 'Mozart', 'Beethoven']",Mozart
0,Miscelánea,¿Qué fabricante produce la videoconsola PlayStation 3?,"['Nintendo', 'IBM y ATI', 'Microsoft', 'Sony Computer Entertainment']",Sony Computer Entertainment
0,Ciencia y Naturaleza,¿Cual es el símbolo del Magnesio?,"['M', 'Mg', 'Mgns', 'Mn']",Mg
0,Historia,¿Cuál fue la capital del Antiguo Imperio de Egipto?,"['Luxor', 'El Cairo', 'Menfis', 'Tiro']",Menfis
0,Arte y Literatura,¿Quién escribió Ulises en 1922?,"['Paulo Coelho', 'Miguel de Cervantes', 'James Joyce', 'Jorge Luis Borges']",James Joyce
0,Ciencia y Naturaleza,¿En qué año recibió Severo Ochoa el Premio Nobel de Medicina?,"['1966', '1978', '1959', '1942']",1959
0,Historia,¿Cuál fue la primera dinastía china?,"['La dinastía Shang', 'La Dinastía Zhou', 'La dinastía Goda', 'La dinastía Xia']",La dinastía Xia
0,Geografía,"¿Donde está La Chorrera, la tercera catarata más alta del mundo?","['China', 'Perú', 'Finlandia', 'Congo']",Perú
0,Arte y Literatura,¿Quién escribió 'El licenciado vidriera'?,"['Arturo Pérez Reverte', 'Miguel de Cervantes', 'Umberto Eco', 'Francisco Umbral']",Miguel de Cervantes
0,Ciencia y Naturaleza,¿Quién inventó el Dirigible?,"['Henry Ford', 'Juan De la Cierva', 'Ferdinand Von Zeppelin', 'Bill Gates']",Ferdinand Von Zeppelin
0,Miscelánea,¿Qué ciudad es bona si la bolsa sona?,"['Berlín', 'Barcelona', 'Venecia', 'Roma']",Barcelona
0,Ciencia y Naturaleza,¿Qué es la Diabetes?,"['Una hiperglucemia', 'Una brucelosis crónica', 'Una hipoglucemia', 'Una tuberculosis leve']",Una hiperglucemia
0,Ciencia y Naturaleza,¿Qué Premio Nobel recibió Robert Koch?,"['El Premio Nobel de Medicina', 'El Premio Nobel de Física', 'El Premio Nobel de Economía', 'El Premio Nobel de Química']",El Premio Nobel de Medicina
0,Ciencia y Naturaleza,¿Qué Premio Nobel recibió Carl David Anderson?,"['El Premio Nobel de Medicina', 'El Premio Nobel de Física', 'El Premio Nobel de Economía', 'El Premio Nobel de Química']",El Premio Nobel de Física
0,Miscelánea,¿Qué es un Sudoku?,"['Un pasatiempo con casillas que han de rellenarse con números del 1 al 9', 'Un pasatiempo consistente en resolver un laberinto', 'Un tipo de sopa de letras', 'Un pasatiempo similar al juego del ahorcado']",Un pasatiempo con casillas que han de rellenarse con números del 1 al 9
0,Miscelánea,¿En qué año se fundó Nokia?,"['1985', '1970', '1865', '1997']",1865
0,Cine y Televisión,"¿Qué actor dijo, al ser preguntado por su orientacion sexual: 'Bueno, desde luego no estoy yendo por la vida con un brazo atado a la espalda'?","['Paul Newman', 'Anthony Quinn', 'James Dean', 'Robert Redford']",James Dean
0,Cine y Televisión,¿Cuál fue el primer tipo de programa de telerrealidad (reality show)?,"['Los concursos de telerrealidad como Gran Hermano', 'Los concursos como Miss América', 'Los programas que acompañan a los policías en su trabajo', 'La cámara escondida']",La cámara escondida
0,Geografía,¿Dónde se encuentra la ciudadela de Machu Picchu?,"['Quito', 'Cochabamba', 'Cusco', 'Mazatlan']",Cusco
0,Geografía,¿Dónde se encuentra el río Rin?,"['En Asia', 'En Africa', 'En Europa', 'En Oceanía']",En Europa
0,Música,¿Cuál es el nombre completo de Beethoven?,"['Wolfgang Amadeus', 'Johann Sebastian', 'Antonio', 'Ludwing Van']",Ludwing Van
0,Ciencia y Naturaleza,¿Qué es un agujero negro?,"['Un fenómeno físico causado por el reflejo de la luz sobre la materia', 'Una grieta en la roca erosionada por la acción del agua', 'Una fuente astronómica de energía electromagnética', 'Una región espaciotemporal con un campo gravitatorio que absorbe las partículas']",Una región espaciotemporal con un campo gravitatorio que absorbe las partículas
0,Cine y Televisión,¿A qué se llama Mediometraje?,"['A una película que dura aproximadamente 1 hora', 'A una película mediocre, de bajo presupuesto', 'A una película que te deja indiferente', 'A una película con una duración entre 30 y 60 minutos']",A una película con una duración entre 30 y 60 minutos
0,Historia,¿Cómo se llamaba la mujer de Francisco Franco?,"['Mayte Zaldívar', 'Mila Ximenez', 'Carmen Sevilla', 'Carmen Polo']",Carmen Polo
0,Deporte,¿Quien es el campeón de la temporada 2008-09 de la NBA?,"['Boston Celtics', 'Los Angeles Lakers', 'Chicago Bulls', 'New York Knicks']",Boston Celtics
0,Cine y Televisión,¿En qué película narra Woody Allen las desventuras de un ambicioso profesor de tenis inmerso en un complicado lío de faldas?,"['Match Point', 'Celebrity', 'Melinda y Melinda', 'Vicky Cristina Barcelona']",Match Point
0,Deporte,¿Con que escuderia ganó Fernando Alonso su primer mundial de Formula 1?,"['Ferrari', 'Mercedes', 'Renault', 'BMW']",Renault
0,Cine y Televisión,¿Cuantos Oscar le fueron otorgados a El Color Púrpura?,"['3', '6', '1', 'Ninguno']",Ninguno
0,Cine y Televisión,¿Qué cadena americana emite la serie Mujeres Desesperadas?,"['ABC', 'CBS', 'BBC', 'NBC']",ABC
0,Geografía,¿Donde están las Cataratas Livingstone?,"['Europa', 'Oceanía', 'Africa', 'Asia']",Africa
0,Deporte,¿Dónde se juega el Roland Garros?,"['Niza', 'París', 'Lyon', 'Toulouse']",París
0,Cine y Televisión,Actor protagonista de 'Man on the moon' del director Milos Forman,"['Jim Carrey', 'Kevin Spacey', 'Denzel Washington', 'Ben Affleck']",Jim Carrey
0,Cine y Televisión,¿Quién interpreta a Zahara en 'La mala educación' de Pedro Almodóvar?,"['Fernando Tejero', 'Jordi Mollà', 'Gael García Bernal', 'Guillermo Toledo']",Gael García Bernal
0,Historia,¿A qué civilización pertenece la ciudadela de Machu Pichu?,"['Inca', 'Azteca', 'Maya', 'Mapuche']",Inca
0,Deporte,¿Qué modalidad de Billar es un juego de carambolas?,"['Billar americano', 'Billar español', 'Billar inglés', 'Billar francés']",Billar francés
0,Arte y Literatura,¿Quién es el autor de la novela histórica Los pilares de la Tierra?,"['Carmen Laforet', 'Oscar Wilde', 'Ken Follet', 'Gabriel García Márquez']",Ken Follet
0,Miscelánea,"Completa el refrán: ""Más vale pájaro en mano...""","['...que dos volando', '...que en nido', '... que muerto', '...que ciento volando']",...que ciento volando
0,Arte y Literatura,¿Donde nació el poeta y dramaturgo Federico García Lorca?,"['Puerto de Santa María, Cadiz', 'Fuente Vaqueros, Granada', 'Cordoba', 'Sevilla']","Fuente Vaqueros, Granada"
0,Cine y Televisión,¿Qué actriz es Sole en la serie de televisión 7 Vidas?,"['Amparo Baró', 'Eva Santolaria', 'Anabel Alonso', 'Blanca Portillo']",Amparo Baró
0,Miscelánea,¿Qué empresa desarrolló el Nylon?,"['Basf', 'Levi Strauss', 'Dow Chemical Company', 'DuPont']",DuPont
0,Historia,¿Bajo qué guerra se produjo la Guerra de Vietnam?,"['Bajo la Primera Guerra de Indochina', 'Bajo la II Guerra Mundial', 'Bajo la Guerra Fría', 'Bajo la Guerra de Corea']",Bajo la Guerra Fría
0,Cine y Televisión,¿Qué premios entrega la industria de la televisión estadounidense?,"['Premios Emmy', 'Los Grammy', 'Los Oscar', 'Los Premios Pulitzer']",Premios Emmy
0,Deporte,¿Quién es Sergi Bruguera?,"['Nadador cubano', 'Tenista español', 'Atleta argentino', 'Corredor mexicano']",Tenista español
0,Miscelánea,¿Cómo se llama la plaza de toros de Sevilla,"['Maestranza César Girón', 'La Monumental', 'La Maestranza', 'Las Ventas']",La Maestranza
0,Historia,¿Cuál fue el primer país del mundo en prohibir la esclavitud?,"['Turquía', 'Estados Unidos', 'Francia', 'Reino Unido']",Reino Unido
0,Arte y Literatura,¿Cómo se llama el capital que quiere capturar a Moby-Dick?,"['El capital Nelson', 'El capitan Garfio', 'El capitan Ahab', 'Barba Roja']",El capitan Ahab
0,Música,Quien canta la cancion Bodies?,"['Robbie Williams', 'Oasis', 'Lady Gaga', 'Madonna']",Robbie Williams
0,Deporte,¿Cuál es el apodo del golfista Sergio García?,"['Garci', 'El golfo', 'El de Castellón', 'El niño']",El niño
0,Música,¿Cómo se llama el cantante Loquillo?,"['José Mª Sanz Beltrán', 'Roberto Ver Ino', 'Ramón Rodríguez', 'Carlos Segarra']",José Mª Sanz Beltrán
0,Cine y Televisión,¿Quién es Batman en la película de Tim Burton?,"['Michael Keaton', 'Chris Evans', 'Matthew Broderick', 'John Cusack']",Michael Keaton
0,Arte y Literatura,¿Qué le pasa a Mario en la obra de Miguel Delibes 'Cinco horas con Mario'?,"['Hace un viaje astral', 'Está enfermo', 'Se incendia la granja en la que trabaja', 'Está muerto']",Está muerto
0,Miscelánea,¿Quién era el dios de la guerra según la mitología romana?,"['Baco', 'Cupido', 'Marte', 'Mercurio']",Marte
0,Miscelánea,"Completa el refrán: ""Más vale pájaro en mano...""","['...que dos volando', '...que en nido', '...que ciento volando', '... que muerto']",...que ciento volando
0,Arte y Literatura,"¿Qué país regaló La Estatua de la Libertad a Estados Unidos, en 1886, para conmemorar la Independencia de América?","['España', 'Reino Unido', 'Alemania', 'Francia']",Francia
0,Ciencia y Naturaleza,¿Qué es el movimiento de rotación de la Tierra?,"['Movimiento por el que la Tierra gira alrededor del Sol', 'Cambio de inclinación del eje de rotación de la Tierra', 'Movimiento por el que la Tierra gira sobre sí misma', 'El cambio de sentido en la rotación de laTierra']",Movimiento por el que la Tierra gira sobre sí misma
0,Miscelánea,¿Qué día es el 28 de Junio?,"['El Día Internacional de los Trabajadores', 'El Día Internacional del Libro y del Derecho de Autor', 'El Día Internacional de las Naciones Unidas', 'El Día Internacional del Orgullo Gay']",El Día Internacional del Orgullo Gay
0,Música,¿Cual de estas canciones es de Alice Cooper?,"['Die for you', 'Highway to hell', ""Runin' with the devil"", 'Sure know something']",Die for you
0,Geografía,¿Dónde está el Archipiélago Gagos?,"['Océano Atlántico', 'Océano Índico', 'Océano Antártico', 'Océano Ártico']",Océano Índico
0,Cine y Televisión,¿Qué actor protagonizó 'El show de Truman'?,"['Jack Black', 'Sylvester Stallone', 'Owen Wilson', 'Jim Carrey']",Jim Carrey
0,Cine y Televisión,¿Qué película ganó el Goya a la mejor película en la primera edición de estos Premios?,"['Camino', 'La soledad', 'Volver', 'El viaje a ninguna parte']",El viaje a ninguna parte
0,Historia,¿Qué país realizó el ataque a Pearl Harbor?,"['Italia', 'Japón', 'China', 'Alemania']",Japón
0,Deporte,¿Cuál es el apodo del golfista argentino Angel Cabrera?,"['Golfen Bear', 'The Kid', 'El pato Cabrera', 'El niño']",El pato Cabrera
0,Cine y Televisión,¿En qué serie aparece la malvada Angela Channing?,"['En Dallas', 'En Santa Bárbara', 'En Falcon Crest', 'En Dinastía']",En Falcon Crest
0,Arte y Literatura,¿Quién pintó 'El festín de Baltasar' de la National Gallery de Londres?,"['El Greco', 'Rembrandt', 'Tiziano', 'Rubens']",Rembrandt
0,Miscelánea,¿De dónde es originario el juego Dorodango?,"['Egipto', 'Japón', 'China', 'México']",Japón
0,Arte y Literatura,¿Cómo se llama el autor de la novela erótica: Lolita (1955)?,"['Vladimir Nabokov', 'Francesco Petrarca', 'Edgar Allan Poe', 'Stanley Kubrick']",Vladimir Nabokov
0,Cine y Televisión,¿De qué va la serie de televisión 'Felicity'?,"['Cuenta las anécdotas de una camarera de Boston', 'Cuenta los años universitarios de Felicity', 'Cuenta la vida de una periodista del Sacramento Register', 'Cuenta la estancia como Médico Residente de Felicity']",Cuenta los años universitarios de Felicity
0,Miscelánea,¿Qué es un torque?,"['Un tipo de ardilla originaria de irlanda', 'Un tipo de templo megalítico', 'Una persona torpe', 'Un collar típico celta']",Un collar típico celta
0,Cine y Televisión,¿Cómo se llama el más polémico jurado de Operación Triunfo - España?,"['Alejandro Abad', 'Javier Llano', 'Risto Mejide', 'Noemí Galera']",Risto Mejide
0,Geografía,¿Cual es el gentilicio de Chipre?,"['Chipriota', 'Chipiota', 'Chipiense', 'Chipritingo']",Chipriota
0,Arte y Literatura,¿Cual es la ciudad española con más rascacielos?,"['Valencia', 'Benidorm', 'Madrid', 'Barcelona']",Benidorm
0,Ciencia y Naturaleza,¿Qué es un durómetro?,"['Un fruto injertado entre durazno y ciruela', 'Un árbol caracterizado por la dureza de su corteza', 'Un mineral cuya dureza es máxima según la Escala de Mohs', 'Un instrumento que mide la dureza de los materiales']",Un instrumento que mide la dureza de los materiales
0,Arte y Literatura,¿Cómo se llama el protagonista de la novela Ulises de James Joyce?,"['Stephen Dedalus', 'Ulises', 'Homero', 'Leopold Bloom']",Leopold Bloom
0,Historia,¿En qué conflicto bélico se originó la ONG Médicos sin fronteras (MSF) en el año 1971?,"['Guerra de Biafra', 'Primera Guerra Mundial', 'Rebelión Taiping', 'Guerra de Iraq']",Guerra de Biafra
0,Cine y Televisión,¿Dónde se rueda principalmente la serie Lost (Perdidos)?,"['Tahití', 'Australia', 'Hawaii', 'Filipinas']",Hawaii
0,Arte y Literatura,Famosa obra de Aldous Huxley,"['Un mundo feliz', 'Utopía', 'La República', 'De la Tierra a la Luna']",Un mundo feliz
0,Ciencia y Naturaleza,"¿Qué experimento probó, por primera, vez que se pueden formar espontáneamente moléculas orgánicas, con materia inorgánica, en condiciones propicias?","['Experimento de Mendel', 'Experimento de Rutherford', 'Experimento de Miller y Urey', 'Experimento de Franck y Hertz']",Experimento de Miller y Urey
0,Música,¿Quién compuso la ópera El Barbero de Sevilla?,"['Gioacchino Rossini', 'Georges Bizet', 'Giuseppe Verdi', 'Mauel de Falla']",Gioacchino Rossini
0,Cine y Televisión,¿En la serie 'El internado' quien tiró a Carolina por la ventana?,"['Roque', 'Amelia', 'Jacks Noiret', 'Hugo']",Roque
0,Arte y Literatura,¿Con qué obra ganó el Nobel de Literatura Vicente Aleixandre en el año 1977?,"['La colmena', 'Territorio comanche', 'Las ratas', 'Poemas de la consumación']",Poemas de la consumación
0,Cine y Televisión,¿Quién dirigió 'Un perro andaluz'?,"['Luis Buñuel', 'Julio Medem', 'Alex de la Iglesia', 'Carlos Saura']",Luis Buñuel
0,Miscelánea,¿Quién organizó el Primer Torneo Mundial de Cubo de Rubik?,"['Guiness de los Records', 'Moltó', 'Mattel', 'Famosa']",Guiness de los Records
0,Música,¿Quién ganó el Festival de Eurovisión en 1988?,"['Vicky Leandros', 'Céline Dion', 'Lara Fabian', 'Carola']",Céline Dion
0,Ciencia y Naturaleza,¿Quien fue el primer astronauta en salir al espacio?,"['Yuri Gagarin', 'Valentina Tereshkova', 'Neil Armstrong', 'Scott Carpenter']",Yuri Gagarin
0,Música,¿Cómo se llama el cantante de Led Zeppelin?,"['Robert Plant', 'Axl Rose', 'John Lennon', 'Bruce Dickinson']",Robert Plant
0,Deporte,¿Qué es una tarjeta azul en Futbol Playa?,"['Una tarjeta de expulsión de un jugador por 2 minutos sin sustitución', 'Una tarjeta de expulsión directa con sustitución', 'Una tarjeta de falta técnica con lanzamiento de penalti', 'No existe tarjetas azules']",Una tarjeta de expulsión de un jugador por 2 minutos sin sustitución
0,Deporte,¿Cuanto dura cada tiempo de un partido de baloncesto (FIBA)?,"['10 minutos', '30 minutos', '12 minutos', '15 minutos']",10 minutos
0,Arte y Literatura,¿Quien escribió la obra: La vida es sueño?,"['Tirso de Molina', 'Lope de Vega', 'Miguel de Cervantes', 'Calderón de la Barca']",Calderón de la Barca
0,Arte y Literatura,¿En poesía cual de los siguientes géneros líricos es un canto nupcial?,"['Peán', 'Egloga', 'Epitalamio', 'Epigrama']",Epitalamio
